"galaxy_id","optical_u","optical_g","optical_r","optical_i","optical_z","infrared_three_six","infrared_four_five","infrared_five_eight","infrared_eight_zero","infrared_J","infrared_K","radio_one_four","redshift_result"
"SECOND ELEMENTa","213","123","123","123","132","123","123","123","123","123","132","123","121.85"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"21","23","21","23","23","43","23","45","45","45","23","45","45","31.08"
"0","23","23","3","123","4","213","3","4","323","34","23","3","59.92"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","12","232","23","23","34","34","34","34","343","34","34","34","67"
"12","23","213","23","23","2","4","56","6","7","7","75","5","34.15"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"STRING_SAN","213","123","123","23","43","123","342","34","2313","123","34","123","278.23"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"5","45","435","435","454","33","545","34534","4","45","3454","5454","54545","7691"
"12","23","234","324","234","34","23","234","23","45","45","45","34","99.85"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"21","23","21","23","23","43","23","45","45","45","23","45","45","31.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","213","23","23","2","4","56","6","7","7","75","5","34.15"
"5","45","435","435","454","33","545","34534","4","45","3454","5454","54545","7691"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","12","232","23","23","34","34","34","34","343","34","34","34","67"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","234","324","234","34","23","234","23","45","45","45","34","99.85"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"0","23","23","3","123","4","213","3","4","323","34","23","3","59.92"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"123","23","123","2321","123","231","123","23","231","123","123","123","312","298.38"
"21","23","21","23","23","43","23","45","45","45","23","45","45","31.08"
"123","12","232","23","23","34","34","34","34","343","34","34","34","67"
"12","23","213","23","23","2","4","56","6","7","7","75","5","34.15"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"5","45","435","435","454","33","545","34534","4","45","3454","5454","54545","7691"
"12","23","234","324","234","34","23","234","23","45","45","45","34","99.85"
"0","23","23","3","123","4","213","3","4","323","34","23","3","59.92"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"Just a","23","23","3","123","4","213","3","4","323","34","23","3","59.92"
"12","23","234","324","234","34","23","234","23","45","45","45","34","99.85"
"5","45","435","435","454","33","545","34534","4","45","3454","5454","54545","7691"
"12","23","213","23","23","2","4","56","6","7","7","75","5","34.15"
"123","12","232","23","23","34","34","34","34","343","34","34","34","67"
"21","23","21","23","23","43","23","45","45","45","23","45","45","31.08"
"4324","213","23","23","213","32","123","23","23","32","323","23","23","82.62"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
"12","23","123","231","12321","12312","123","123","123","123","123","123","123","1990.08"
